id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
10123527,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1331/10123527?searchId=633adc60898e3,1331,HOUSE,HOUSE,395000.0,residential_sale,,115.0,NOT_INSTALLED,False,False,True,10.0,True,700.0,783.0,783.0,4,False,TO_RENOVATE
9803834,https://www.immoweb.be/en/classified/9803834,1410,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10124476,https://www.immoweb.be/en/classified/house/for-sale/rebecq-bierghes/1430/10124476?searchId=633adc60898e3,1430,HOUSE,HOUSE,695000,residential_sale,,288,INSTALLED,False,True,True,43,True,1346,1945,1945,4,True,AS_NEW
10124091,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10124091?searchId=633adc60898e3,1040,HOUSE,HOUSE,1350000,residential_sale,10,355,INSTALLED,False,False,True,,True,80,3,3,2,False,TO_RENOVATE
10123422,https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-lambert/1200/10123422?searchId=633adc60898e3,1200,HOUSE,APARTMENT_BLOCK,2100000,residential_sale,,700,INSTALLED,False,False,True,,,,443,443,2,,AS_NEW
10134626,https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/10134626?searchId=633adc60898e3,7860,HOUSE,HOUSE,205000,residential_sale,,101,INSTALLED,False,False,True,,,,320,320,2,,AS_NEW
10135416,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10135416?searchId=633adc60898e3,1180,HOUSE,HOUSE,450000,residential_sale,,120,NOT_INSTALLED,False,False,,,,,150,150,2,,TO_BE_DONE_UP
10134346,https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/10134346?searchId=633adc60898e3,2860,HOUSE,HOUSE,469000,residential_sale,,164,INSTALLED,False,False,True,38,True,190,316,316,2,,JUST_RENOVATED
10135243,https://www.immoweb.be/en/classified/villa/for-sale/marke/8510/10135243?searchId=633adc60898e3,8510,HOUSE,VILLA,850000,residential_sale,,450,INSTALLED,False,True,True,,True,,1835,1835,4,,GOOD
10138374,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10138374?searchId=633adc60898e3,1040,HOUSE,HOUSE,450000,residential_sale,,100,USA_HYPER_EQUIPPED,False,False,,,,,100,100,2,False,JUST_RENOVATED
10139366,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10139366?searchId=633adc60898e3,1755,HOUSE,HOUSE,589000,residential_sale,,322,INSTALLED,False,False,True,,True,,861,861,4,,GOOD
10143250,https://www.immoweb.be/en/classified/house/for-sale/hamois-mohiville/5360/10143250?searchId=633adc60898e3,5360,HOUSE,HOUSE,50000,residential_sale,,145,INSTALLED,False,False,True,,,,3716,3716,4,False,GOOD
9765391,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/9765391?searchId=633adc60898e3,8370,HOUSE,HOUSE,265000,residential_sale,,130,INSTALLED,True,False,True,34,,,140,140,2,,GOOD
9983313,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/9983313?searchId=633adc60898e3,9100,HOUSE,HOUSE,300000,residential_sale,,206,INSTALLED,False,False,True,25,True,135,304,304,2,,GOOD
10143810,https://www.immoweb.be/en/classified/house/for-sale/orp-jauche/1350/10143810?searchId=633adc60898e3,1350,HOUSE,HOUSE,425000,residential_sale,,300,INSTALLED,,False,True,,True,1600,1750,1750,3,False,GOOD
10143665,https://www.immoweb.be/en/classified/house/for-sale/gullegem/8560/10143665?searchId=633adc60898e3,8560,HOUSE,HOUSE,475000,residential_sale,,361,INSTALLED,False,False,True,50,True,260,565,565,3,False,GOOD
10144680,https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/10144680?searchId=633adc60898e3,1300,HOUSE,HOUSE,549000,residential_sale,,220,INSTALLED,False,True,True,,True,,330,330,2,,
10122741,https://www.immoweb.be/en/classified/house/for-sale/engis/4480/10122741?searchId=633adc60898e3,4480,HOUSE,HOUSE,249000,residential_sale,,230,SEMI_EQUIPPED,False,False,True,,True,430,545,545,2,False,GOOD
10121883,https://www.immoweb.be/en/classified/manor-house/for-sale/avelgem/8580/10121883?searchId=633adc60898e3,8580,HOUSE,MANOR_HOUSE,695000,residential_sale,,350,INSTALLED,False,True,,,,,1996,1996,4,,JUST_RENOVATED
10138445,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/10138445?searchId=633adc60898e3,9230,HOUSE,HOUSE,395000,residential_sale,,143,HYPER_EQUIPPED,False,False,True,24,True,80,170,170,2,False,AS_NEW
10138444,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/10138444?searchId=633adc60898e3,9230,HOUSE,HOUSE,395000,residential_sale,,145,HYPER_EQUIPPED,False,False,True,26,True,80,179,179,2,False,AS_NEW
10127426,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/sint-pieters-woluwe/1150/10127426?searchId=633adc60898e3,1150,HOUSE,MIXED_USE_BUILDING,2250000,residential_sale,,406,INSTALLED,False,True,True,21,,,1630,1630,3,,GOOD
10127423,https://www.immoweb.be/en/classified/mansion/for-sale/sint-pieters-woluwe/1150/10127423?searchId=633adc60898e3,1150,HOUSE,MANSION,2250000,residential_sale,,406,INSTALLED,False,True,True,21,,,1630,1630,3,,GOOD
