id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
9933753,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/9933753?searchId=63393bfb32155,1060,APARTMENT,APARTMENT,220000,residential_sale,,45,INSTALLED,False,False,,,,,,,2,False,GOOD
10125493,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2660/10125493?searchId=63393bfb32155,2660,APARTMENT,APARTMENT,249000,residential_sale,,60,INSTALLED,False,False,True,17,,,,,3,,AS_NEW
10123690,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wavre/1300/10123690?searchId=63393bfb32155,1300,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10123681,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bierges/1301/10123681?searchId=63393bfb32155,1301,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10123455,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent-sint-amandsberg/9040/10123455?searchId=63393bfb32155,9040,HOUSE_GROUP,HOUSE_GROUP,,group_sale,,,,,False,,,,,,,1,,
10123656,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/chaumont-gistoux/1325/10123656?searchId=63393bfb32155,1325,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10123669,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gistoux/1325/10123669?searchId=63393bfb32155,1325,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
8889382,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/woluwe-st-lambert/1200/8889382?searchId=63393bfb32155,1200,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10123715,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10123715?searchId=63393bfb32155,1000,HOUSE,APARTMENT_BLOCK,2498000,residential_sale,,570,USA_SEMI_EQUIPPED,True,False,True,32,True,145,314,314,2,False,AS_NEW
10144829,https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9770/10144829?searchId=63393bfb32155,9770,APARTMENT,APARTMENT,342175,residential_sale,,116,INSTALLED,,False,True,25,True,,,,,False,AS_NEW
10134578,https://www.immoweb.be/en/classified/house/for-sale/alsemberg/1652/10134578?searchId=63393bfb32155,1652,HOUSE,HOUSE,545000,residential_sale,,180,INSTALLED,False,True,True,30,True,530,700,700,4,,GOOD
10145298,https://www.immoweb.be/en/classified/service-flat/for-sale/gent/9051/10145298?searchId=63393bfb32155,9051,APARTMENT,SERVICE_FLAT,175000,residential_sale,,,HYPER_EQUIPPED,False,False,True,6,,,,,2,True,AS_NEW
10145273,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10145273?searchId=63393bfb32155,8300,APARTMENT,APARTMENT,675000,residential_sale,,84,HYPER_EQUIPPED,True,False,,,,,,,2,False,AS_NEW
10132378,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10132378?searchId=63393bfb32155,1140,APARTMENT,APARTMENT,165000,residential_sale,,53,,False,False,,,,,,,2,,TO_BE_DONE_UP
10132462,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10132462?searchId=63393bfb32155,1070,APARTMENT,APARTMENT,170000,residential_sale,,57,INSTALLED,False,False,True,3,,,,,2,False,GOOD
10132769,https://www.immoweb.be/en/classified/duplex/for-sale/dilbeek/1700/10132769?searchId=63393bfb32155,1700,APARTMENT,DUPLEX,229000,residential_sale,,130,HYPER_EQUIPPED,False,False,,,,,,,2,False,TO_RESTORE
10132866,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10132866?searchId=63393c00d78f8,1000,APARTMENT,APARTMENT,620000,residential_sale,,155,INSTALLED,False,False,True,3,,,,,2,False,GOOD
10132300,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/10132300?searchId=63393c00d78f8,1200,APARTMENT,PENTHOUSE,885000,residential_sale,,225,HYPER_EQUIPPED,False,False,True,25,,,,,4,False,AS_NEW
10144445,https://www.immoweb.be/en/classified/house/for-sale/sint-baafs-vijve/8710/10144445?searchId=63393c00d78f8,8710,HOUSE,HOUSE,225000,residential_sale,,150,SEMI_EQUIPPED,False,False,,,,,321,321,3,,TO_BE_DONE_UP
10143183,https://www.immoweb.be/en/classified/villa/for-sale/mol/2400/10143183?searchId=63393c00d78f8,2400,HOUSE,VILLA,449000,residential_sale,,200,HYPER_EQUIPPED,,False,True,,True,700,836,836,4,False,JUST_RENOVATED
10143853,https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/10143853?searchId=63393c00d78f8,2950,HOUSE,HOUSE,589000,residential_sale,,234,HYPER_EQUIPPED,False,False,True,36,True,400,594,594,3,False,AS_NEW
10135278,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10135278?searchId=63393c00d78f8,9000,APARTMENT,APARTMENT,279000,residential_sale,,86,INSTALLED,False,False,True,,,,,,2,,GOOD
10135013,https://www.immoweb.be/en/classified/loft/for-sale/sint-pieters-leeuw/1600/10135013?searchId=63393c00d78f8,1600,APARTMENT,LOFT,330000,residential_sale,,150,USA_HYPER_EQUIPPED,False,False,True,,,,,,2,False,AS_NEW
10121408,https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/10121408?searchId=63393c00d78f8,6870,HOUSE,HOUSE,175000,residential_sale,,124,NOT_INSTALLED,False,False,True,10,,,721,721,2,False,AS_NEW
10122662,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/braine-le-comte/7090/10122662?searchId=63393c00d78f8,7090,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10121714,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/soignies/7060/10121714?searchId=63393c00d78f8,7060,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10122494,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/10122494?searchId=63393c00d78f8,1020,APARTMENT,APARTMENT,295000,residential_sale,,88,USA_HYPER_EQUIPPED,False,False,True,2,True,25,,,2,False,JUST_RENOVATED
10121699,https://www.immoweb.be/en/classified/villa/for-sale/soignies/7060/10121699?searchId=63393c00d78f8,7060,HOUSE,VILLA,325000,residential_sale,,220,INSTALLED,False,False,True,,True,,1578,1578,4,,TO_BE_DONE_UP
10123137,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/kruisem/9750/10123137?searchId=63393c00d78f8,9750,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10121703,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/soignies/7060/10121703?searchId=63393c00d78f8,7060,HOUSE_GROUP,HOUSE_GROUP,,group_sale,,,,False,False,,,,,,,1,,
